COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
GENERATED VIA SPACETRACK.ORG API,18 SPCS,8832,TITAN 3C TRANSTAGE DEB,DEBRIS,U,76023J,2024-03-01 21:29:42,648000,0.98259298,0.0137431,20.0977,53.2991,73.4786,101.5024,0,999,10937,0,-0.00000141,0,4203428,0 TITAN 3C TRANSTAGE DEB,1 08832U 76023J   24061.89563250 -.00000141  00000-0  00000-0 0  9997,2 08832  20.0977  53.2991 0137431  73.4786 101.5024  0.98259298109376,1976-023J,8832,42738.513,1465.510,36947.737,35773.018,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44479,AMOS 17,PAYLOAD,U,19050A,2024-03-01 19:19:27,276384,1.00274491,0.0001794,0.0163,122.7333,237.3533,106.8498,0,999,1679,0,0.0000012,0,4203428,0 AMOS 17,1 44479U 19050A   24061.80517681  .00000120  00000-0  00000-0 0  9995,2 44479   0.0163 122.7333 0001794 237.3533 106.8498  1.00274491 16795,2019-050A,44479,42163.973,1436.058,35793.403,35778.274,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,20253,FLTSATCOM 8 (USA 46),PAYLOAD,U,89077A,2024-03-01 17:36:02,432736,1.00275841,0.0006751,12.6674,356.2155,349.1208,204.5277,0,999,25222,0,-0.00000354,0,4203428,0 FLTSATCOM 8 (USA 46),1 20253U 89077A   24061.73336149 -.00000354  00000-0  00000-0 0  9995,2 20253  12.6674 356.2155 0006751 349.1208 204.5277  1.00275841252221,1989-077A,20253,42163.595,1436.039,35813.925,35756.995,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,20253,FLTSATCOM 8 (USA 46),PAYLOAD,U,89077A,2024-03-01 13:49:08,550624,1.00275921,0.0006747,12.6674,356.2165,349.1211,147.6446,0,999,25222,0,-0.00000354,0,4202819,0 FLTSATCOM 8 (USA 46),1 20253U 89077A   24061.57579341 -.00000354  00000-0  00000-0 0  9990,2 20253  12.6674 356.2165 0006747 349.1211 147.6446  1.00275921252225,1989-077A,20253,42163.573,1436.038,35813.885,35756.990,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,8832,TITAN 3C TRANSTAGE DEB,DEBRIS,U,76023J,2024-03-01 13:31:49,30752,0.98259442,0.0137427,20.0969,53.3033,73.469,344.1133,0,999,10937,0,-0.00000156,0,4202819,0 TITAN 3C TRANSTAGE DEB,1 08832U 76023J   24061.56376193 -.00000156  00000-0  00000-0 0  9995,2 08832  20.0969  53.3033 0137427  73.4690 344.1133  0.98259442109371,1976-023J,8832,42738.471,1465.508,36947.678,35772.994,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44479,AMOS 17,PAYLOAD,U,19050A,2024-03-01 12:48:42,704640,1.00274393,0.0001798,0.0174,125.123,234.0969,9.7609,0,999,1678,0,0.0000012,0,4202819,0 AMOS 17,1 44479U 19050A   24061.53382760  .00000120  00000-0  00000-0 0  9993,2 44479   0.0174 125.1230 0001798 234.0969   9.7609  1.00274393 16786,2019-050A,44479,42164.001,1436.060,35793.447,35778.285,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,20253,FLTSATCOM 8 (USA 46),PAYLOAD,U,89077A,2024-03-01 12:19:37,380576,1.00275952,0.0006747,12.6674,356.2168,349.1079,125.2155,0,999,25220,0,-0.00000354,0,4202719,0 FLTSATCOM 8 (USA 46),1 20253U 89077A   24061.51362709 -.00000354  00000-0  00000+0 0  9991,2 20253  12.6674 356.2168 0006747 349.1079 125.2155  1.00275952252201,1989-077A,20253,42163.564,1436.037,35813.877,35756.981,0
COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
GENERATED VIA SPACETRACK.ORG API,18 SPCS,22787,UFO 2 (USA 95),PAYLOAD,U,93056A,2024-03-04 23:48:42,757056,1.00269477,0.0004017,11.6272,7.8993,358.7663,182.3841,0,999,11018,0,0.00000132,0,4209183,0 UFO 2 (USA 95),1 22787U 93056A   24064.99216154  .00000132  00000-0  00000-0 0  9998,2 22787  11.6272   7.8993 0004017 358.7663 182.3841  1.00269477110187,1993-056A,22787,42165.379,1436.130,35804.182,35770.306,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,25001,TITAN 3C TRANSTAGE DEB,DEBRIS,U,68081H,2024-03-04 22:38:42,632736,1.0169687,0.0068715,1.0319,346.8755,39.2967,206.6127,0,999,10983,0,-0.00000281,0,4208633,0 TITAN 3C TRANSTAGE DEB,1 25001U 68081H   24064.94354899 -.00000281  00000-0  00000-0 0  9990,2 25001   1.0319 346.8755 0068715  39.2967 206.6127  1.01696870109838,1968-081H,25001,41769.901,1415.973,35678.788,35104.745,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44479,AMOS 17,PAYLOAD,U,19050A,2024-03-04 22:03:42,652224,1.00270065,0.0002111,0.0193,104.9653,266.462,139.6353,0,999,1682,0,0.00000112,0,4208633,0 AMOS 17,1 44479U 19050A   24064.91924366  .00000112  00000-0  00000-0 0  9993,2 44479   0.0193 104.9653 0002111 266.4620 139.6353  1.00270065 16820,2019-050A,44479,42165.214,1436.122,35795.980,35778.178,0
